Author Name(s),Subject Area,Department,Title,Institution,Location,Research Focus,Research Score,Citations,H-index,Paper Title,Publication Date,Journal Name,Authors,Article Type,Full Text Available,Citation Count,DOI
Ella Reynolds,BG21 - Health & Care,BG10,Medical Student Involvement in and Attitudes towards Audit and Research: The MEDical Student Experience of Audit and ResearCH (MED-SEARCH) Survey,,,Medical student involvement in audit and research,,N/A,,Medical Student Involvement in and Attitudes towards Audit and Research: The MEDical Student Experience of Audit and ResearCH (MED-SEARCH) Survey,Sep-18,,"Samuel Trethewey, Julien Morlet, Ella Reynolds, Robert I. Norman",Article,Yes,N/A,327513976
Stuart Collier,AL29 - Animal Management and Land Based Studies,AL10,Researcher,Not specified,Not specified,Bioaccumulation of Poly-Brominated Diphenyl Ethers (PBDEs) in marine organisms,Not specified,4,Not specified,Bioaccumulation of different congeners of Poly-Brominated Diphenyl Ethers (PBDEs) in muscle tissue of males and females of Clupea harengus from the North Sea,Jun-21,Environmental Science and Pollution Research,"Andrea Gaion, Ellana Morgan, Stuart Collier, Davide Sartori",Article,Yes,N/A,10.1007/s11356-021-14347-x
Gabriele Bianco,BG21 - Health & Care,BG10,"MSc in Clinical Linguistics, BSc in Speech and Language Pathology",North East London NHS Foundation Trust,"North East London, UK","Language delays/difficulties in monolingual and bilingual children, assessment tools and treatments for bilingual children who are late talkers/have a developmental language disorder, stuttering in children and adults",22.8,11,Not specified,An article,Sep-19,Ocean & Coastal Management,"Laura Roberts, Stuart Collier, Samantha Law, Andrea Gaion",Scientific Article,No,N/A,10.1016/j.ocecoaman.2019.104860
Gabriele Bianco,BG21 - Health & Care,BG10,Thesis for MSc - EMCL- European Master in Clinical Linguistics,,,"Dynamic Assessment of vocabulary, sentence structure and phonology as a screening tool for the identification of Specific Language Impairment",72,,,"Dynamic Assessment of vocabulary, sentence structure and phonology in combination with other measures as a screening tool for the identification of Specific Language Impairment",Aug-15,,"Gabriele Bianco, Maria Teresa Guasti, Michelle J White, Natalie Hasson",Thesis,Yes,N/A,10.13140/RG.2.1.4410.0242
Abishek Umashankar,BG21 - Health & Care,BG10,M.Sc. Audiology - Ph.D. Student,Newcastle University,India,Unraveling the neurobiological basis of tinnitus by studying its initial onset and subsequent chronification,105.5,76,4,Clinical Linguistics & Phonetics,Oct-20,Clinical Linguistics & Phonetics,"Maria Teresa Guasti, Michelle J White, Gabriele Bianco, Natalie Hasson",Research Article,Yes,N/A,10.1080/02699206.2020.1830303
Abishek Umashankar,BG21 - Health & Care,BG10,Comparative Study on the Acoustic Analysis of Voice in Auditory Brainstem Implantees, Cochlear Implantees, and Normal Hearing Children,Indian Journal of Otolaryngology,,"Acoustic characteristics of voice in Auditory Brainstem Implantees, Cochlear Implantees, and normal hearing children",,1,,"Comparative Study on the Acoustic Analysis of Voice in Auditory Brainstem Implantees, Cochlear Implantees, and Normal Hearing Children",Sep-23,Indian Journal of Otolaryngology,"Abishek Umashankar, Santhoshi Ramamoorthy, Jasmine Lydia Selvaraj, Subhashini Dhandayutham",Research Article,No,N/A,10.1007/s12070-023-04236-9
Abishek Umashankar,BG21 - Health & Care,BG10,Exploring the Neurophysiological Changes in Individuals with Tinnitus from Its New Onset Until Its Subsequent Chronification,,"Dublin, Ireland",Neurophysiological changes in new-onset tinnitus until chronification using electrophysiological tests,,,,Exploring the Neurophysiological Changes in Individuals with Tinnitus from its New Onset until its Subsequent Chronification,Jun-23,Tinnitus Research Initiative,"Abishek Umashankar, Will Sedley, Kai Alter, Phil Gander",Conference Paper,No,N/A,10.13121/RG.371816528
Abishek Umashankar,BG21 - Health & Care,BG10,Researcher,Indian Journal of Otolaryngology,India,Delta Variant of Covid-19 and Hearing Loss,4,2,N/A,Delta Variant of Covid-19 and Hearing Loss,Mar-23,Indian Journal of Otolaryngology,"Abishek Umashankar, Praveen Prakash, Prashanth Prabhu",Article,Yes,N/A,10.1007/s12070-023-03724-2
Abishek Umashankar,BG21 - Health & Care,BG10,Effect of Contralateral Acoustic Stimulation on Temporal Processing Abilities in Individuals with Normal Hearing,Indian Journal of Otolaryngology,India,"Temporal Processing Abilities, Acoustic Stimulation, Normal Hearing",N/A,N/A,N/A,Effect of Contralateral Acoustic Stimulation on Temporal Processing Abilities in Individuals with Normal Hearing,Dec-22,Indian Journal of Otolaryngology,"Praveen Prakash, Adithya Sreedhar, Abishek Umashankar, Prashanth Prabhu",Article,Yes,N/A,10.1007/s12070-022-03420-7
Abishek Umashankar,BG21 - Health & Care,BG10,,Researcher,Indian Journal of Otology,India,Bionic Hearing in Auditory Neuropathy Spectrum Disorder,3.7,3,N/A,Bionic Hearing in Auditory Neuropathy Spectrum Disorder: A Systematic Review,Mar-22,Indian Journal of Otology,"Shruthi Rajavenkat, Abishek Umashankar, Pachaiappan C",Article,Yes,N/A,10.4103/indianjotol.indianjotol_29_21
Abishek Umashankar,BG21 - Health & Care,BG10,Effect of diurnal changes on the auditory working memory in individuals with normal hearing,,,Auditory working memory and diurnal changes,3.3,1,,Effect of diurnal changes on the auditory working memory in individuals with normal hearing,Dec-21,Neuroscience Research Notes,"Praveen Prakash, Chandana Shivaiah, Abishek Umashankar, Prashanth Prabhu P",Article,Yes,N/A,10.31117/neuroscirn.v4i4.110
Abishek Umashankar,BG21 - Health & Care,BG10,Applications of Artificial Intelligence in Hearing Aids and Auditory Implants: A Short Review,Not specified,Not specified,Artificial intelligence applications in auditory devices,8,8,Not specified,Applications of Artificial Intelligence in Hearing Aids and Auditory Implants: A Short Review,Dec-21,Journal of Hearing Science,"Abishek Umashankar, Anusha M N, Pachaiappan C",Article,Yes,N/A,10.17430/JHS.2021.11.3.2
Abishek Umashankar,BG21 - Health & Care,BG10,Frequency Characteristics in Children Using Cochlear Implant: A Comparison With Normal Hearing Peers,Not specified,Not specified,Comparative study of frequency parameters of voice between children using cochlear implants and children with normal hearing,Not specified,6,Not specified,Frequency Characteristics in Children Using Cochlear Implant: A Comparison With Normal Hearing Peers,Sep-21,The Journal of International Advanced Otology,"Abishek Umashankar, Subhashini Dhandayutham, Santhoshi Ramamoorthy, Jasmine Lydia Selvaraj",Article,Yes,N/A,N/A
Abishek Umashankar,BG21 - Health & Care,BG10,Researcher,Affiliation not specified,Location not specified,Auditory Working Memory Capacities During Adolescence,Research Interest Score not specified,Not specified,Not specified,Changes in Auditory Working Memory Capacities During Adolescence,Aug-21,Indian Journal of Otolaryngology,"Abishek Umashankar, Chandana Shivaiah, Prashanth Prabhu P",Research Article,No,N/A,10.1007/s12070-021-02812-5
Abishek Umashankar,BG21 - Health & Care,BG10,Scope of Audiology in Space Research: A Letter to the Editor,Not specified,Not specified,Audiology in Space Research,Not specified,N/A,Not specified,Scope of Audiology in Space Research: A Letter to the Editor,Apr-21,Indian Journal of Otolaryngology,"Abishek Umashankar, Prashanth Prabhu",Letter to the Editor,Yes,N/A,10.1007/s12070-021-02536-6
Abishek Umashankar,BG21 - Health & Care,BG10,, , ,Threshold of octave masking to explain cochlear nonlinearity,,2,,Threshold of octave masking as a tool to explain cochlear nonlinearity,Jan-21,Auditory and Vestibular Research,"Abishek Umashankar, Lakshmanabharathi R, C Pachaiappan, Prashanth Prabhu P",Article,Yes,N/A,10.18502/avr.v30i1.5308
Abishek Umashankar,BG21 - Health & Care,BG10,Researcher,Unknown,Unknown,"Bionic Hearing, Otolaryngology",Research Interest Score not specified,1,Not specified,Can Neuralink be Effective For Bionic Hearing?,Dec-20,The Hearing Journal,"Abishek Umashankar, Prashanth Prabhu P",Article,No,N/A,10.1007/s12070-021-02378-2
Abishek Umashankar,BG21 - Health & Care,BG10,Researcher,Journal of Clinical and Diagnostic Research,India,Effect of COVID-19 on individuals with hearing impairment,N/A,12,N/A,Effect of COVID-19 on Individuals with Hearing Impairment in India,Aug-20,Journal of Clinical and Diagnostic Research,"Abishek Umashankar, Prashanth Prabhu",Article,Yes,N/A,10.7860/JCDR/2020/45054.13892
Abishek Umashankar,BG21 - Health & Care,BG10,Auditory and Preverbal Skill Improvements between Early and Late Cochlear Implantees: Evidence from LittIEARS Questionnaire,Not specified,Not specified,Auditory and preverbal skill improvements in children with cochlear implants,Not specified,3,Not specified,Auditory and Preverbal Skill Improvements between Early and Late Cochlear Implantees: Evidence from LittIEARS Questionnaire,Dec-19,Journal of Clinical and Diagnostic Research,"KR Rahul, Deepika Jayachandran, Ranjith Rajeswaran, Abishek Umashankar",Article,Yes,N/A,10.7860/JCDR/2019/42222.13326
Abishek Umashankar,BG21 - Health & Care,BG10,Adaptation of Littlears Auditory Questionnaire in Tamil,Not specified,Not specified,Adaptation of auditory questionnaires for Tamil speaking cochlear implant children,Not specified,3,Not specified,ADAPTATION OF LITTLEARS AUDITORY QUESTIONNAIRE IN TAMIL,Aug-19,Not Specified,"Rahul KR, Deepika Jayachandran, Ranjith Rajeswaran, Abishek Umashankar",Article,Yes,N/A,10.46827/ejse.v0i0.2604
